_id,Public_Health_Outcomes_Framework,Award_Reference,Programme,Funding_Stream,Chief_Investigator,Contractor,Start_Date,End_Date,Award_Title,Abstract,Status,Funding_and_Awards_Link,Award Budget
690480784f47b4e2063a0d84,Health Improvement,PB-PG-0110-20033,Research for Patient Benefit,Research for Patient Benefit,Professor Joanne Protheroe,Blackpool Borough Council,2012-01-04,2014-04-03,A pilot study to examine the feasibility of improving engagement with supported self-management in diabetic patients in disadvantaged populations.,"BackgroundType 2 diabetes (DM) is a disorder of glucose metabolism. Patient self care is critical for the control of the disorder National & local evaluations show that structured education programmes such as X-PERT can improve self care. However, these programmes do not reach people from disadvantaged communities. It is important to evaluate interventions aimed at improving support for these communitiesWe will use Health Trainers to help disadvantaged people with Type 2 DM engage with self care support. Health trainers are people from the local community trained to help patients change behaviours using evidence-based methods. They will conduct a structured interview with patients to develop an personal management plan using a locally developed menu of options; & provide ongoing patient supportAims(1) Intervention development: engage with patients & practitioners in NHS Blackpool to explore views on the needs of people from disadvantaged areas to develop a Health Trainer intervention that can effectively encourage patients with diabetes from disadvantaged communities to engage with self care support(2) Evaluation: to assess the feasibility of delivering that intervention and evaluating its effects in a pilot RCT (i) Feasibility of collecting data using face-to-face and telephone for these hard to reach groups (ii) Collect basic resource use data (primary and secondary care) and to to estimate the cost of the . intervention(3) Undertake a qualitative evaluation of the intervention(4) Disseminate results within local NHSPlan of Investigation1. Focus groups with GPs, HTs and DM patients to discuss gaps in current provision for disadvantaged populations, to refine intervention and to develop a local menu of options for DM patients.2. Pilot study: To test a complex intervention, designed for people with type 2 DM to improve patient self-management behaviours, self-confidence & control, DM control and HRQoL as measured by a researcher-delivered questionnaire.The intervention is a structured interview with a Health Trainer to develop an individually tailored self-management plan, with ongoing HT support for 6 months. We aim to recruit 2 large general practices in socioeconomically disadvantaged areas.3. Gather basic cost and resource use data 4. Conduct qualitative interviews with participants to evaluate the intervention.Potential ImpactThis study will develop an intervention suitable for use with people from disadvantaged areas & with poor basic skills.This will subsequently be evaluated in a large-scale RCT. If the intervention shows a benefit it will be implemented across the PCT leading to (1) better DM self-management & health in people with type 2 DM (2) patients who are empowered to take more control of their health & (3) a potential role and additional training for Health Trainers to support people with type 2 DM. Benefits to patients: Impacts (1) & (2) will enable type 2 DM patients previously missed by traditional group interventions and those with poor health literacy skills to better understand & self-manage their condition.Benefits to NHS: Impacts (2) & (3) will lead to reduced health care costs",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0110-20033,"£192,345.00"
690480784f47b4e2063a0d85,Health Improvement,PB-PG-0110-20199,Research for Patient Benefit,Research for Patient Benefit,Professor Stephen Sutton,NHS Cambridgeshire and Peterborough CCG,2012-01-03,2015-03-31,A randomised controlled trial evaluation of the effectiveness of three minimal human contact interventions to promote fitness and physical activity among NHS hospital employees (Get Moving),"BackgroundThe rise in the burden of disease associated with sedentary living is a major public health problem. Physical inactivity accounts for up to 11.7% of deaths in developed countries and is associated with heart disease, diabetes, osteoporosis and some cancers. The rapid rise in the prevalence of obesity is strongly associated with a decline in physical activity. Obesity costs the NHS in England approximately £0.5 billion per year. While previous physical activity interventions have focused on individuals at increased risk of disease, greater population health gain will be achieved through shifts in the overall distribution of physical activity. We need interventions that are effective, scalable and affordable; those involving little face-to-face contact may be one way of achieving this.AimsThe purpose of this trial is to assess the effectiveness, feasibility and acceptability of three minimal human contact interventions to increase fitness and physical activity among NHS hospital employees:1. Self-monitoring using paper diaries 2. Physical activity monitor with web-based feedback graphs 3. Physical activity monitor with web-based feedback graphs and support programmeThere will also be a no intervention control group. The interventions will be applied for twelve weeks, with objective measurement of fitness and physical activity at baseline and follow-up. Although being evaluated among hospital employees, the interventions are potentially applicable to similar target groups in other settings, including general practice and primary care.Plan of InvestigationThis is an open label, parallel groups, randomised controlled trial to assess three interventions designed to increase fitness and physical activity against a no treatment control group. Participants (NHS hospital employees) will attend baseline and follow-up (12 weeks) measurement sessions. At both sessions, participants will complete questionnaires and have anthropometric and biological measurements taken. The baseline measurement session will be followed by 6 days of objective physical activity monitoring. Following this, participants will be randomly allocated to one of the four experimental groups. Follow-up measurements (preceded by 6 days of objective physical activity monitoring) will be taken to ascertain whether there has been a change in any of the dependent measures.Potential ImpactParticipants (480 NHS hospital employees) may benefit directly in two ways. All participants (including those in the control group) will be offered a health check and will be sent a summary of their personal results at the end of the study. In addition, participants in the intervention groups may increase their fitness and physical activity. If the interventions are effective in increasing fitness and physical activity, they could be used relatively inexpensively on a wide scale, in other occupational health settings and in general practice and primary care. Increased physical activity is known to be associated with greater job satisfaction and lower sick leave, a positive result which will be of direct benefit to NHS patients.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0110-20199,"£245,200.00"
690480784f47b4e2063a0d86,Health Improvement,PB-PG-0110-21005,Research for Patient Benefit,Research for Patient Benefit,Professor Carrie Llewellyn,University Hospitals Sussex NHS Foundation Trust,2011-09-01,2016-12-31,Multicentre RCT and economic evaluation of a psychological intervention to reduce risk behaviour amongst MSM prescribed post-exposure prophylaxis for HIV following sexual exposure (PEPSE),"BackgroundSexual risk taking behaviour of men who have sex with men (MSM) is reported to be increasing. MSM are the group most affected by the HIV epidemic and one to one behavioural interventions, such as motivational interviewing (MI) have been recommended to reduce HIV. NICE guidance recommends one to one interventions within current STI/HIV service provision and advises that these interventions are integral to the modernisation of sexual health services. We suggest that patients who present for post-exposure prophylaxis for HIV following sexual exposure (PEPSE) could be targeted for risk reduction interventions, thus potentially lowering the likelihood of further risk behaviour, detrimental health outcomes and costs.AimsTo evaluate the impact of motivational interviewing (MI) augmented with information and behavioural skills building (informed by the Information-Motivation-Behavioral Skills Model), over and above usual care, on risky sexual behaviour in men who have sex with men prescribed PEPSE.A secondary aim is to examine the impact of MI over and above usual care, on adherence to PEPSE. We hypothesize that compared with usual care, those in the intervention arm will: 1) Report a reduction in risky sexual practices2) Have greater levels of adherence to PEPSE treatment;3) Have lower rates of subsequent use of PEPSE; 4)Have greater motivation to avoid risky sexual behaviours; 5) Have greater risk reduction knowledge;6) Have greater risk reduction behavioural skills.Plan of InvestigationA parallel group randomised controlled trial is proposed. Participants will be MSM prescribed PEP after sexual exposure recruited from Brighton and London. The intervention will consist of two telephone sessions based on motivational interviewing (MI) and augmented by knowledge-enhancing and skill development techniques recommended by the Information-Motivation-Behavioural Skills (IMB) model of behaviour change. The intervention group will be compared to a ‘treatment as usual’ control group. Primary and secondary outcomes will be collected at 3, 6 and 12 months after the end of treatment to estimate intervention sustainability. An economic evaluation comparing the cost-effectiveness of the intervention to treatment as usual, using a decision model of HIV transmission is also proposed.Potential ImpactThe proposed RCT is both novel and timely. HIV is a condition affecting both length and quality of life, even with highly effective treatments. Health-related quality of life is at least 20% lower in people with HIV compared to the general population. Moreover, the lifetime NHS cost of a single HIV infection is estimated to be about £0.35 million. Taken together, along with the relatively low costs of the proposed intervention, it is clear that the intervention needs only to be moderately effective for it to be cost-effective and cost-saving. Findings will influence the nature and content of future consultations between staff and those requiring PEPSE and so have a direct bearing on the quality of care of patients.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0110-21005,"£249,297.00"
690480784f47b4e2063a0d87,Healthcare Public Health and Preventing Premature Mortality,PB-PG-0110-21252,Research for Patient Benefit,Research for Patient Benefit,Professor Kathryn Greenwood,Sussex Partnership NHS Foundation Trust,2011-11-01,2015-07-31,Improving Engagement in Early Interventions: A pilot study adopting young psychosis service user and carer perspectives to shape EIP Services in the South East for patient benefit,"BackgroundEngagement with Early Intervention in Psychosis (EIP) services in the critical 2-3 year period following onset improves patients’ symptoms, illness course, employment and suicide rates in the long term. However, at least 25-30% of patients nationally and in the South East disengage from services within the first 12 months [1-7] with detrimental long term impacts on patient outcome [8]. Improving EIP services is a priority for the South East SHA. This evidence and recommendations from the New Horizons document emphasise the need to develop more effective youth-focused models of intervention that improve engagement. This study aims to close this gap in service provision by developing an intervention focused on the specific needs of those patients who disengage from EIP services.AimsThe research question is threefold:i) What are the facilitators and barriers to engagement in EIP services?ii) What changes should be made to services, based on knowledge of engagement issues?iii) Can youth-focussed service adaptations be effectively implemented to improve engagement?To improve engagement by: (i) identifying young people’s and families’ views about facilitators and barriers to engagement. (ii) developing a youth focused model with adaptations including a) the provision and use of information b) approaches to engagement c) the involvement of young people in their services(iii) implementing the intervention in EIP services.Impacts on engagement will be evaluated quantitatively. Stakeholder perceptions of the intervention will be explored qualitatively.Plan of InvestigationPhase 1Regional focus groups with young people, EIP service users and carers will provide novel in-depth data to identify what helps or hinders engagement. A multidisciplinary team will use qualitative analyses to produce draft EIP service adaptations.Phase 2A consultation (Delphi) process will be conducted with managers, commissioners and clinicians in the South East to turn the draft into a set of pragmatic, deliverable service adaptations. A booklet and website, consultancy and training, will be designed, with service users, to implement the adaptations.Phase 3The intervention will be implemented as a pilot and the proportion of people who disengage will be compared pre and post intervention. Interviews will explore stakeholders’ perceptions of the adaptations in depth.Potential ImpactThe youth-focussed shaping of EIP services aims to increase the number of people who engage. Service users and families will benefit from more information and options for engagement to better meet their needs, leading to better outcomes. Clinicians in Sussex will receive user-friendly, pragmatic guidance and tools in the form of training, consultancy, a booklet and a website to help them engage more easily with young people and their families. This will result in more effective and efficient approaches to engagement, fewer failed attempts and more service user and staff satisfaction. The study will pilot the intervention and assess the feasibility of delivery to improve engagement in EIP services. It will report on outcomes and will inform the development of a randomised controlled trial.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0110-21252,"£207,111.00"
690480784f47b4e2063a0d88,Healthcare Public Health and Preventing Premature Mortality,PB-PG-0211-24122,Research for Patient Benefit,Research for Patient Benefit,Dr Amanda Perry,Spectrum Community Health CIC,2014-04-01,2017-03-31,Assessing the feasibility of implementing and evaluating a new problem solving model for patients at risk of self-harm and suicidal behaviour in prison,"We will conduct three inter-related studies in four prisons in the North of England. We will train all wing staff in the basics of problem-solving and assess the impact using a multiple interrupted time series design with a range of outcome measures derived from routinely collected prison data. We will develop an economic protocol to estimate the associated NHS costs. We will train specialist staff in the use of problem-solving to help with the management of individual prisoners at risk and we will assess the feasibility of collecting individual, prison-based and NHS service outcomes before, during, after, and at 4 months following participants after release from prison. We will use qualitative methods to evaluate the feasibility and acceptability of the prison-based training, and to identify potential barriers to its wider implementation in the prison service.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0211-24122,"£251,053.00"
690480784f47b4e2063a0d89,Healthcare Public Health and Preventing Premature Mortality,PB-PG-0211-24140,Research for Patient Benefit,Research for Patient Benefit,Dr Julie Whitney,King's College Hospital NHS Foundation Trust,2013-02-04,2014-08-03,PRevention Of Falls in COGnitively impaired older adults living in residential care (PROF-COG)A pilot multi-factorial intervention to prevent falls in older people living in care homes tailored towards risk factors related to cognitive impairment,"Background Falls are a major public health problem affecting 50% of care home residents. Falls are costly to the individual in terms of their impact on confidence, independence and quality of life and the resultant injuries present huge costs for health and social services. Several interventions to prevent falls have been effective in cognitively intact community dwelling older people. However, the picture in care homes is less clear. There have been some effective interventions but others have actually increased falls. Meta-analysis of interventions to prevent falls in care homes found no overall significant effect. The reasons for the failure of some care home interventions to prevent falls may be because they are not targeted towards a risk profile that takes cognitive impairment into account. We have designed an intervention based on a theoretical framework explaining falls risk in cognitively impaired care home dwellers derived from a previous prospective falls risk study in this population. We will address these risk factors in the proposed study. Primary aims The primary aims will be to test the safety, feasibility, acceptability and clinical efficacy of this multi-factorial intervention with the future aim of testing this intervention in a definitive multi-centre trial powered to detect significant reductions in falls. Study design This pilot study will use a cluster randomised controlled trial design. We will recruit a purposive sample of 6 local care homes (to include 2 nursing and 2 EMI units) and invite all residents in the participating homes to take part in the study. Homes will be randomised into control and intervention groups stratified by size and presence of nursing/EMI unit. Baseline and follow up assessments Assessments will be undertaken at baseline and at 6 months in measures of balance, gait, strength, behaviour, anxiety, fear of falling, mood, cognition, falls, function, physical activity and quality of life. Adherence, drop outs, adverse events and level of engagement in the exercise programmes will also be measured. Other outcomes Recruitment rates, time taken to undertake assessments and the screening and intervention process will also be analysed. Care home and research staff and participants will be interviewed following the intervention. Intervention The 6-month intervention will be delivered based on an initial screening to determine risk factors amenable to intervention. Interventions will include; comprehensive geriatric assessment, balance training exercise and management of dementia related behaviours. There will be fortnightly multi-disciplinary team meetings for staff to critically review falls incidences. Usual care Participants in the control homes will receive usual care. Data analysis General linear models will be used to assess the effect of group allocation on continuously scored outcome measures and logistic regression models will be used to compare groups on dichotomous outcome measures. Adjustment will be made for cluster effects. Interviews and focus groups will be analysed using inductive thematic analysis. Potential benefits to the NHS The primary aim of this trial is to provide proof of concept and design a rigorous definitive trial to prevent falls in older care home dwellers. Should the future trial provide evidence to support this intervention, we expect to progress to long-term implementation to reduce falls and injuries resulting in better quality of life for residents and lower costs for treating falls and other health problems.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0211-24140,"£206,486.00"
690480784f47b4e2063a0d8a,Healthcare Public Health and Preventing Premature Mortality,PB-PG-0212-27059,Research for Patient Benefit,Research for Patient Benefit,Dr Robert Fleetcroft,NHS Norfolk and Waveney CCG,2014-06-09,2016-02-07,Can a practice based approach using Significant Event Audit identify key factors that might reduce avoidable non-elective hospital admissions? A feasibility study,"Background Non-elective admissions are defined as admissions by pathways other than a waiting list, and these are increasing by 2.4% each year in England.6 7 Patients do not like being admitted as this can cause distress, depression and loss of independence.8 It is thought that many admissions could be avoided and there is a policy aim to reduce these.7 9-11 There is no agreed definition of the term avoidable admission .7 9 10 12 Research into interventions to reduce non-elective hospital admissions has identified only limited evidence of success.9 This includes case management in nursing homes;13 telemedicine in heart failure (assessment of the patient s problems by sources receiving data at a distance);14 pharmacy review (to identify potentially risky prescribing),15 and integrated care &ndash;arrangements for shared responsibility for a patient across different agencies.13 16-18 One study found that feedback and training reduced non-elective admissions in asthma.19 We will investigate whether the intervention of significant event audit (SEA) is a suitable tool to analyse non-elective hospital admissions. SEA is a complex intervention20 which has the advantage that it is widely used in other areas of primary care to analyse unexpected outcomes, critical incidents, deaths, new cancer diagnoses and complaints, and is designed to examine all clinical presentations.21 Aims We aim to Determine the acceptability to staff and patients of SEA as an approach to examine and reduce non-elective admissions. Fine tune SEA when used for this purpose if stage 1 finds changes are needed. Provide information needed for a sample size calculation for a future cluster-randomised trial. This study will inform the design of a future definitive study to test the hypothesis that practices which regularly perform SEA of non-elective admissions from their practice will have lower subsequent rates of non-elective admissions. Plan of investigation Phase 1 (recruitment) will inform aims 1 and 3; we will select 20 practices and provide training in performing SEAs on patients records subsequent to a non-elective admission. Phase 2 (intervention) will also inform aims 1 and 3; Practices will perform SEAs on records of patients who have had a non-elective admission. We will use the consensus opinion of practices using SEA to determine the likelihood of an admission being avoidable. Practices will estimate the potential for avoiding admission, and summarise these findings in a report. Phase 3 (evaluation) will inform aims 1, 2 and 3; we will run two focus groups for practice staff and one focus group of patients to determine the acceptability of SEA in this setting. We will use data collected on recruitment rates and we will assess SEA reports for quality with a peer review instrument to inform aim 2. We will collect survey data in phases 1 and 3 to inform aim 1. Potential benefit to the NHS This research is into an area of high priority and is included in the NHS Institute for Innovation and Improvement performance indicators. This feasibility study will test the acceptability of SEA in this setting, fine-tune SEA, and collect data to inform a subsequent cluster RCT to examine whether this approach will lead to a reduction in non-elective admissions, and whether this is cost-effective. This is important for patients as they prefer treatment outside the hospital setting if it is feasible.8 SEA is expected to provide a greater understanding of changes in practice including clinical pathways which may reduce non-elective admissions. This could inform local and national policy making in the development of pathways of care to reduce avoidable non-elective admissions.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0212-27059,"£224,467.00"
690480784f47b4e2063a0d8b,Healthcare Public Health and Preventing Premature Mortality,PB-PG-0213-30105,Research for Patient Benefit,Research for Patient Benefit,Professor Stephen Bourke,Northumbria Healthcare NHS Foundation Trust,2014-06-03,2016-12-02,"Randomised controlled trial of hospital at home compared to standard inpatient management of patients with an acute exacerbation of chronic obstructive pulmonary disease (AECOPD), triaged for hospital admission by Accident and Emergency and with low mortality risk according to the novel DECAF score.","BackgroundIn acute exacerbations of COPD (AECOPD), the Cochrane group concluded that there is insufficient evidence of clinical or financial benefit of Hospital at Home (HAH) compared to standard inpatient care.[4, 10] HAH may reduce readmissions,[5] but this analysis was influenced by one study[11] on selected patients (aged 75 years or older), with intensive input in the HAH arm and high readmission rates in the standard care arm. The evidence for other outcomes, including cost, is of low or very low quality.[5] Previous RCTs of HAH for AECOPD show considerable heterogeneity in selection criteria and level of support at home, limiting the generalisability of their results. NICE advise patient selection for HAH be based on prognosis, but acknowledge the (previous) lack of a prognostic tool.[6] In the recently developed DECAF score for AECOPD, 53% of unselected patients had a low risk of mortality (1.4%),[8] and therefore were potentially suitable for HAH. This is double the proportion of patients identified in earlier trials, which lacked a robust prognostic tool to inform patient selection. Aims We intend to conduct an RCT of HAH compared to standard inpatient care for patients with AECOPD and low risk DECAF score. We will assess clinical outcomes, patient preference, and health and social costs. An embedded qualitative study will explore patients , carers , and healthcare professionals views of HAH. Plan of investigation Consecutive admissions with AECOPD to either of two hospitals will be assessed for eligibility. To ensure balanced groups and avoid selection bias, participating patients will be randomised to HAH or standard inpatient care by minimisation[12] or computer generated random sequence, in equal proportion.[13] The researcher will be blinded to the method used. Once randomised, any future admissions will be treated according to the allocated protocol, provided their DECAF risk remains low. Patients in the HAH arm will be transferred home within 48 hours, often on the same day. A potential criticism of previous HAH is increased carer burden: To address this, same day temporary social care will be available, including 24-hour care. Patients will have 1 to 2 daily respiratory nurse visits with support from consultant physicians, physiotherapists and occupational therapists. Physiological observations charts will be maintained, and controlled oxygen and nebulisers will be available. Patients will have access to the HAH team 24 hours a day, by telephone or by tablet (face time). The primary outcome is hospital bed days over 90 days. Secondary outcomes include survival, readmission rates, patient and carer preference and quality of life (QoL). A full cost analysis will be performed including direct and indirect costs, and social care and care-giver costs. In an embedded qualitative study, patients, carers and healthcare professionals will be interviewed to explore perceptions of HAH. Potential benefits of study HAH may help patients to maintain their usual activities and foster independence and confidence in self-management. Compared to inpatient care, HAH may be associated with better QoL and fewer readmissions, total hospital bed days and complications, including hospital acquired infections, deconditioning and poor nutrition. Patients and carers may prefer HAH. AECOPD are one of the most common reasons for hospital admission and, compared to earlier trials, the DECAF score identifies a much higher proportion of patients as potentially suitable for HAH. Should this model of HAH prove clinically and cost effective, the potential benefits to patients and the NHS are considerable. The planned interviews with patients, carers and healthcare professionals will identify potential barriers to wider implementation, whilst the economic analysis will inform appropriate resource allocation and ensure that costs are not simply redistributed from secondary care to the community, patient and f",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0213-30105,"£228,984.00"
690480784f47b4e2063a0d8c,Health Improvement,PB-PG-0214-33020,Research for Patient Benefit,Research for Patient Benefit,Professor Ruth Garside,Royal Devon University Healthcare NHS Foundation Trust,2015-05-01,2016-07-31,What are the factors that influence older adults’ engagement in exercise and physical activity? An evidence synthesis of qualitative research and mapping of quantitative reviews,"Background: Physical activity has well-established benefits for health and well-being. Successful achievement of activity level targets, not well met at any age, declines as people get older. With an ageing population, successfully addressing this lack is increasingly urgent. Qualitative research about older people s experiences and preferences of engagement in physical activity has been conducted across disparate academic disciplines but communication of findings between disciplines is often poor. Similarly, a number of systematic reviews about the effectiveness of interventions to improve physical activity levels have been undertaken, but have not been brought together to give a comprehensive picture of what is known about the field. We will bring this evidence together using methods of systematic review and synthesis to produce a comprehensive picture of the evidence base. Aims: To understand people s experiences and preferences about physical activity and exercise as they get older (aged 50+). We also want to understand how well the tested interventions reflect these interests and concerns of older people, what limitations and uncertainties there are in the evidence base, and what factors commissioners and providers should consider when designing and implementing interventions to support physical activity and to address health inequalities in this population. Research questions: 1) What are people s experiences and preferences in relation to exercise and physical activity as they get older (aged 50+)? 2) What factors help older people to be physically active? 3) What factors prevent older people from being physically active? 4) What is known about the effectiveness of interventions to encourage older people (aged 50+) to be physically active and what are the impacts on physical and mental health and well-being? 5) Are there groups of older people for whom these interventions work better or less well? 6) What gaps and limitations are there in this information? 7) How well do the evaluated interventions map onto the preferences and problems described by older people themselves? 8) What could be done to enhance the ability of all older people to become more physically active, including those who are often marginalised? Plan of investigation: 1) Systematic review and evidence synthesis of qualitative research among older people on their preferences and experiences related to being physically active. 2) Systematic review and mapping of existing systematic reviews about the effectiveness of exercise/physical activity interventions among those aged 50+. 3) Overarching synthesis of 1)&2) to see how well the studied interventions reflect the experiences and preferences of older people and to describe gaps and limitations in this evidence base. By mapping the nature of interventions studied, and what is known about which activities are successful in which populations, we will also identify gaps and limitations in existing research. Methods: Methods will adhere to those described by the Centre for Reviews and Dissemination guidance for systematic reviews. A detailed protocol will be registered with PROSPERO. Potential benefits to patients and the NHS: Qualitative research in this area is dispersed, and has not previously been brought together in a comprehensive synthesis. Through synthesising this evidence, we will collate and emphasise older people s experiences. The map of existing quantitative reviews will allow us to see how well these reflect the concerns of older people, and to identify gaps and limitations in previously studied interventions. We will use the reviews to make recommendations so that future projects can be made more relevant to real life issues identified by older people. It is hoped that better tailored interventions will be more effective, increasing the ability and willingness of older people to be physically active and leading to improved health and well-being and reduced costs to the NHS.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0214-33020,"£199,283.00"
690480784f47b4e2063a0d8d,Health Improvement,PB-PG-0215-36024,Research for Patient Benefit,Research for Patient Benefit,Professor Holly Blake,Nottingham University Hospitals NHS Trust,2016-08-04,2018-08-03,SKIP [Supporting Kids with diabetes In Physical activity]: feasibility of an online multimedia intervention to promote physical activity in children with type 1 diabetes (T1DM),"Background: Low levels of physical activity are common in children with type 1 diabetes (T1DM). This has negative implications for diabetes control, physical and psychological health across the lifecourse, and is costly to the NHS. Children, parents and healthcare professionals hold positive attitudes towards physical activity promotion, but highlight barriers to being active which included low self-efficacy (or confidence) for exercise and fear of hyperglycaemia. Children with T1DM are comfortable with and prefer electronic media and parents are receptive to the use of technology as part of diabetes management. However, online resources are not currently used as part of routine care. Clinicians support the introduction of technology-based resources into clinical care, but have identified a lack of evidence-based resources which are condition and age-appropriate. We have developed an online multimedia intervention (SKIP) to promote physical activity in children aged 9-12 with T1DM, which is underpinned by psychological behaviour change theory and best available evidence. We hypothesise that SKIP will increase physical activity through building self-efficacy for exercise and reducing fear of hyperglycaemia. Aim: The main aim of this study is to establish the feasibility of doing a definitive trial to investigate the clinical and cost-effectiveness of SKIP. The definitive trial will be deemed feasible if we can demonstrate that we can successfully identify and recruit patients with T1DM and the proposed study design is deemed acceptable by patients, parents and clinicians. Our objectives include: Assessing the feasibility and acceptability of recruitment strategies, randomisation, methods of data collection and outcome measures to be used in the future trial, Determining rates of adherence and compliance, study retention and drop-out (with reasons) Assess acceptability of SKIP to children, parents and health care professionals Finalise the design of a future randomised controlled trial including revision of SKIP and assessment of long-term delivery costs. Plan of investigation: The procedure is divided into three parts: [1] randomised feasibility study; SKIP consists of education and interactive elements aimed at improving knowledge of exercise and T1DM, and a mechanism for recording and monitoring blood glucose and physical activity. Children will receive wrist-worn motion sensors to support goal setting and monitoring. We will recruit 50 child/parent dyads from two hospital sites over 10 months. 25 will receive SKIP, 25 will receive usual care only. Objective monitoring data will be collected to determine intervention fidelity, participant engagement with the intervention and the research study. We will test collection of measures at baseline, 8 weeks and 6 months. This will include clinical indicators of diabetes control, anthropometric, behavioural, and psychological variables, communication between health care teams, patients and families, and economic outcomes; [2] qualitative evaluation; we will invite SKIP participants (children and parents) and key healthcare professionals involved in their care to participate in qualitative interviews to give feedback and evaluation of intervention content and delivery, and research processes; [3] Trial development; we will finalise SKIP specification and costs, and research procedures, methods and measures based on feasibility and acceptability testing. We will develop and test measures for assessing healthcare communication and economic outcomes in the main trial. Potential benefits to patients/NHS: Improved self-efficacy for exercise and reduced fear of hypoglycaemia will lead to increased physical activity in childhood which can be sustained across the lifecourse. This will lead to better diabetes control. Supporting clinical staff in promoting physical activity may improve communication between healthcare teams, children and their families. Bet",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0215-36024,"£209,902.00"
690480784f47b4e2063a0d8e,Improving the Wider Determinants of Health,PB-PG-0215-36027,Research for Patient Benefit,Research for Patient Benefit,Professor Matthew Bown,University Hospitals of Leicester NHS Trust,2016-09-01,2019-02-28,Female Aneurysm screening STudy - FAST,"BACKGROUND: There is an urgent need to determine if the current policy of excluding women from abdominal aortic aneurysm (AAA) screening is justified or not. AAA rupture causes over 3,000 deaths per annum in England and Wales2. Even though AAA prevalence in women is lower than in men, the relative burden of disease in women is higher due to increased risks of both mortality and morbidity due to AAA rupture, and after surgery to prevent rupture, in females3-6. AAA rupture can be prevented by early detection and monitoring through screening and surveillance, and surgical repair if the AAA enlarges to a size when the risk of rupture outweighs the risk of surgery7-10. Since 2013 the NHS has been offering AAA screening to all men in the year of their 65th birthday. AAA screening in men has been shown to be cost-effective and reduce AAA-mortality11, 12. Women are not included in the NHS AAA Screening Programme, as there is currently no evidence that screening women is effective13. Women may be unfairly disadvantaged by this policy however. In 2013, 31.7% of all deaths due to ruptured AAA were in females2. Between 2000 and 2009, AAA-death rates fell by 5.6% per year in men but only 4.1% in women14. AAA in women are 4-times more likely to rupture than in men7. There is therefore a need to re-examine the screening of women for AAA. The NIHR has directly commissioned an HTA project (HTA 14/179/01) to develop a statistical model of AAA screening effectiveness in women but key missing inputs for this model are screening attendance rates and a contemporaneous estimate of AAA prevalence in women. If these could be provided it is likely that a national policy recommendation regarding AAA screening in women could be made, possibly without recourse to an expensive large-scale randomized clinical trial. AIMS: The primary aims of this study are to assess the feasibility of using routinely collected primary care data to identify women at high-risk of AAA by inviting these women for AAA screening, determine attendance rates, and assess the prevalence of AAA in these women. PLAN OF INVESTIGATION: We will use locally available primary care data to select a cohort of women at high risk of AAA to invite for AAA screening. We have analysed local general practice databases and have established that the risk factors of interest (coronary heart disease, current smoking and ex-smoking) are recorded on an individual patient basis and that there are adequate numbers of women with these risk factors in the proposed study area. We will invite women with these risk factors for AAA for screening and determine the uptake of AAA screening in those invited. We will screen 6612 women for AAA which will enable an accurate estimate of AAA prevalence such that we can be 99% confident that the true population prevalence in this high-risk group is above the prevalence threshold for screening cost-effectiveness of 0.35%. BENEFITS: Patient benefits Reduce the mortality and morbidity caused by AAA in women through the delivery of AAA screening, an intervention that is currently unavailable to women in the NHS. Establish female specific requirements for the provision of information before, during and after participation in screening. NHS benefits Reduce the number of admissions with ruptured AAAs in women (high cost episodes) and AAA related deaths in women. Maximise the cost-efficiency of future screening strategies for AAA by identifying a population at high risk. Establish a mechanism for the identification of women at high risk of AAA that is relevant to the NHS and can be instituted within current NHS informatics infrastructure.",Complete,https://fundingawards.nihr.ac.uk/award/PB-PG-0215-36027,"£188,261.00"
